id;codigo;asentamiento;tipo_asentamiento;municipio;estado;ciudad;codigo_postal_administracion;clave_estado;clave_oficina;clave_cp;clave_tipo_asentamiento;clave_municipio;id_asentamiento_cons;zona;clave_ciudad
1;venti;accurate collar;till;querulous regarding;yum vaguely;oof commission;about;caree;maid ;gentl;nor p;um in;overdub co;crisp well-off highly;altho
2;seemi;past ecstatic;atop elegantly attenuation;to during grateful;after those deathwatch;ugh;ugh e;inter;macaw;plus ;drat ;mob w;wilt uh-hu;eek reproachfully;truly
3;brief;politely whose;drat;surroundings;yuck;elf;next;ha ge;yet a;godpa;boo;enthu;er;psst ouch per;helpf
4;a inc;times;overconfidently meditate emphasis;why welfare;whenever;curiosity;rapid;great;whose;acupu;usele;hair ;so further;drat smug;oh fe
5;truan;why;for why if;above until;tapioca vanadyl yahoo;at but forsaken;eek p;lest;impre;aboar;ugh r;fortu;fritter de;caulk;whoa 
6;lace ;toward;gosh upon;warped under an;admire;oversight altruistic for;kowto;spiff;sick;even ;sardo;radia;margin;throughout;utter
7;woot ;unhinge imaginary;forenenst tensely helpfully;ah;zealous;precious signature amid;gah g;intre;again;inter;defin;dream;galumph fo;gee during cue;round
8;ice-c;aside;annually;geez electrocute;throughout;ouch behind;recru;immat;hm si;pagin;booho;on;furiously ;but woeful ack;faili
9;needi;ruddy once solemnly;readily potentially gnash;on meh impede;infatuated warmly uselessly;doubtfully absent;respe;since;delig;cup m;prost;track;courageous;both;so bu
10;psst ;against blah yahoo;carefully;jittery jaggedly;interestingly wholly;pertinent;whoa ;hourl;portl;palat;zebra;for d;phew zowie;consequently doing;final
