id;tipo_vivienda;material_vivienda;numero_habitaciones;numero_habitantes;servicios_disponibles;ingreso_mensual;ingreso_mensual_hogar;gasto_mensual;personas_dependientes;apoyos_gubernamentales;ocupacion_actual;condicion_laboral;tipo_empleo;lugar_trabajo;tiempo_empleado;grado_maximo_estudios;anios_estudio;estudia;institucion_medica;tipo_afiliacion;numero_afiliacion;medio_transporte;tiempo_traslado;fecha_actualizacion
1;boot oh;classic notwithstanding thankful;12762;19814;youthfully;32160.61;8214.97;22171.21;11866;because meh;gasp;amid;unto variant seep;why which;wrongly;these race;24536;true;angrily;who;which pool;checkbook underneath;22164;2026-01-15
2;off;among active gratefully;8014;15059;transcribe throughout;8956.54;18437.75;16402.18;19240;repeatedly that until;upon upon mostly;freely whoever;beetle indeed bonnet;so dictionary;daily gosh aha;appropriate;15425;false;disadvantage appropriate giving;furlough interaction reoccur;yet ew;mmm functional;5534;2026-01-15
3;unlucky shady audit;fruitful more briefly;27941;4967;shack despite gullible;26124.02;20184;14931.24;18726;unruly;gadzooks lightly;or yesterday;sandbag;outside elaborate repossess;colonisation except;up sizzling yieldingly;8955;true;grotesque after versus;even oddly;in gah scarily;gah;1172;2026-01-15
4;oddly category;assess blah playfully;518;23778;rhapsodise till cautiously;8395.81;4162.16;29111.78;31083;hm scarily tablecloth;across safely neutralize;strike ouch;male;seriously hence amid;though;bowlful before parch;32628;false;um brr;given;pressurise parent adventurousl;when;12325;2026-01-15
5;generously swiftly ferociously;pamphlet;20405;18730;interconnect actually longingly;29447.93;17564.65;2333.21;12199;per;wherever;denude deport eavesdropper;huzzah duck;immediately;till rid drat;about seriously ATM;2255;false;joyously;sans utilized;whereas plus;provided;28899;2026-01-15
6;meanwhile wannabe;clapboard incidentally;7160;19931;pish considering;9335.23;8819.66;5539.12;16436;as of;ick;gleaming or;uh-huh gadzooks tarry;debtor;klutzy handrail per;black;20606;false;presume mirror gosh;during incomplete;unfortunately nervous brr;nor now unripe;13143;2026-01-16
7;rod excluding journalism;glossy futon crossly;10239;17306;glove;10135.7;19769.76;16373.04;14745;fiddle calmly opposite;an apropos;whose broach neatly;so barring worth;studious imply flash;hoarse intently;though understated;19275;false;drat vice smoke;until;outside calmly bifurcate;intelligent amidst;19314;2026-01-15
8;weary;dishwasher;10930;31426;boohoo;25939.79;30715.61;19318.54;28518;against immediately along;helpfully;neat;aha rapidly the;pfft hence;who;when;11699;false;underplay whereas never;restoration till which;pish constant;except;10112;2026-01-15
9;professionalise;soundness well;19932;32680;dishonor;23392.38;23129.37;1799.35;30185;immunize;zoology ouch;free bamboo underneath;wire inasmuch;drat even;golden during next;after;6427;true;lonely below;hm yippee neglected;whoa interaction lodge;down round inasmuch;12955;2026-01-15
10;act immortal;instead;22317;1687;good midst;12385.89;18336.24;12811.87;31992;caviar gasket;pressurisation;um shipping justification;when gah;briefly during checking;massive rag confront;fiberglass nor aw;14831;false;provided;flatboat yet drat;propagate;deceive uselessly unlawful;11069;2026-01-15
